id_lexeme	lexeme	ori_lexeme	postag	ori_postag
74018	abdominiienne	dimoc	Adj	dimoc
74019	abdomino-pelvien	dimoc	Adj	dimoc
74020	abdomino-pelviienne	dimoc	Adj	dimoc
74021	abdominoplastie	glaff	Nf	glaff
74022	abducteur	glaff	Adj	glaff
74023	abducteur	demonette	Nm	demonette
74024	abductif	glaff	Adj	glaff
74025	abduction	demonette	Nf	demonette
74026	abduire	glaff	V	glaff
74027	abdullah	glaff	Nf	glaff
74028	abdéritain	dimoc	Adj	dimoc
74029	abdéritain	dimoc	Nm	dimoc
74030	abdéritaine	dimoc	Adj	dimoc
74031	abdéritaine	dimoc	Nf	dimoc
74032	abeausir	glaff	V	glaff
74033	abecquage	demonette	Nm	demonette
74034	abecquement	demonette	Nm	demonette
74035	abecquer	demonette	V	demonette
74036	abecqueuse	demonette	Nf	demonette
74037	abeilhanais	glaff	Adj	glaff
74038	abeilhanais	glaff	Nm	glaff
74039	abeilhanaise	dimoc	Adj	dimoc
74040	abeilhanaise	glaff	Nf	glaff
74041	abeillage	glaff	Nm	glaff
74042	abeillard	glaff	Nm	glaff
74043	abeille	glaff	Nf	glaff
74044	abeille tapissière	dimoc	Nf	dimoc
74045	abeiller	glaff	Adj	glaff
74046	abeiller	glaff	Nm	glaff
74047	abeillette	dimoc	Nf	dimoc
74048	abeillier	glaff	Adj	glaff
74049	abeillier	glaff	Nm	glaff
74050	abeillon	dimoc	Nm	dimoc
74051	abeillère	dimoc	Adj	dimoc
74052	abeillère	dimoc	Nf	dimoc
74053	abeillé	glaff	Adj	glaff
74054	abelanie	glaff	Nf	glaff
74055	abelanies	glawi	Nfp	glawi
74056	abelcourtois	glaff	Adj	glaff
74057	abelcourtois	dimoc	Nm	dimoc
74058	abelcourtoise	dimoc	Adj	dimoc
74059	abelcourtoise	dimoc	Nf	dimoc
74060	abelia	glaff	Nm	glaff
74061	abelisaurus	glaff	Nm	glaff
74062	abellen	glaff	Nm	glaff
74063	abellolucien	dimoc	Adj	dimoc
74064	abellolucien	dimoc	Nm	dimoc
74065	abelloluciienne	dimoc	Adj	dimoc
74066	abelloluciienne	dimoc	Nf	dimoc
74067	abend	glaff	Nm	glaff
74068	abenevis	glaff	Nm	glaff
74069	abengourois	glaff	Adj	glaff
74070	abengourois	dimoc	Nm	dimoc
74071	abengouroise	dimoc	Adj	dimoc
74072	abengouroise	dimoc	Nf	dimoc
74073	aber	glaff	Nm	glaff
74074	abercornien	dimoc	Adj	dimoc
74075	abercornien	glaff	Nm	glaff
74076	abercornienne	glaff	Nf	glaff
74077	abercorniienne	dimoc	Adj	dimoc
74078	abercorniienne	dimoc	Nf	dimoc
74079	aberdeenois	dimoc	Adj	dimoc
74080	aberdeenois	dimoc	Nm	dimoc
74081	aberdeenoise	dimoc	Adj	dimoc
74082	aberdeenoise	dimoc	Nf	dimoc
74083	aberdonien	glaff	Adj	glaff
74084	aberdonien	glaff	Nm	glaff
74085	aberdonienne	glaff	Nf	glaff
74086	abergeage	glaff	Nm	glaff
74087	abergementais	glaff	Adj	glaff
74088	abergementais	glaff	Nm	glaff
74089	abergementaise	dimoc	Adj	dimoc
74090	abergementaise	glaff	Nf	glaff
74091	abergementier	glaff	Adj	glaff
74092	abergementier	glaff	Nm	glaff
74093	abergementière	dimoc	Adj	dimoc
74094	abergementière	glaff	Nf	glaff
74095	abergeois	glaff	Adj	glaff
74096	abergeois	dimoc	Nm	dimoc
74097	abergeoise	dimoc	Adj	dimoc
74098	abergeoise	dimoc	Nf	dimoc
74099	aberger	glaff	V	glaff
74100	abergeur	glaff	Adj	glaff
74101	abergeur	glaff	Nm	glaff
74102	abergeuse	glaff	Nf	glaff
74103	aberhavre	glaff	Nm	glaff
74104	aberhavres	glawi	Nmp	glawi
74105	aberrance	glaff	Nf	glaff
74106	aberrant	glaff	Adj	glaff
74107	aberration	demonette	Nf	demonette
74108	aberrer	demonette	V	demonette
74109	abertzale	glaff	Adj	glaff
74110	abessif	glaff	Nm	glaff
74111	abet	glaff	Nm	glaff
74112	abeurver	glaff	V	glaff
74113	abgal	glaff	Adj	glaff
74114	abgal	glaff	Nf	glaff
74115	abgal	glaff	Nm	glaff
74116	abhorrable	glaff	Adj	glaff
74117	abhorration	demonette	Nf	demonette
74118	abhorrer	demonette	V	demonette
