abandonnen
blese
blije
bliye
blo
bo
bòde1
bòde2
bokse
bon
bonbade
bonbe
bonde
bondi
bòne
bosale
bouboul
bouche
bouchonnen
boude
boudonnen
boufe
bougonnen
bouje
boujonnen
boukannen
boukante
bouke
boukle1
boukle2
boukle3
boule1
boule2
boule3
boulinen
boulonnen1
boulonnen2
bouloze (boloze)
boulvèse
boure1
bourike
bouske (boske, bouskade)
bouskile
bouste
boustifaye
bout1
boutonnen
bouye
bouyi1
bouyi2
bouyi3
bouyonnen
bouziye1
bouziye2
bòykote
brade
brakande
brake1
brake2
branche1
branche2
brandi1
brandi2
brase1 (bwase)
brave
braye1
braye2
brennen (brannen)
brenbale
brennen (brannen)
bride
briding kò l
brigande
brile                          see   boule
brini
briske
britalize
briye
bwate (bwete, brate, brete)
bwaze (braze)
bwè (brè)
bwode (bode)
bwonze
bwose (bose)
bwote (bose=
bwouye (bouye)
chache1 (chèche)
chagrinen
chaje1
chaje2
chaje3
chalante
chame
chanje1
chankre 1
chante1
chante 2
chape1
chaplete
chaponnen
charaya
chare(charante, chawaye)
charye(chaye)
chase
chatre1
chatche
chavire 1
chavire 2
chavire3
cheke
cheri
chichote
chikata
chike
chikote
chimi1
chinwa1
chipe
chipote
chire1 (dechire)
chire2
chire3
chita
chode1
chode2
chofe1
chofe2
choke
chouke
choute
chwazi 1(chwezi)
chwi
chyente( chente)
chache1 (chèche)
dane
dangoye(dongoye)
danse
danvi1
date
debaba
debouye
debade
debagaje
debake1
debake2
debale1
debalize
debande1
debande2
debarase1
debare1
debat1
debat2
debati
debinen
debiske
debite1
debite2
debite3
deblatere
deblaye
debloke
dangoye(dongoye)
deboche
debòde
debonde
debouche1
debouche2
deboude
deboukle
deboule
deboulinen1
deboulinen2
deboulonnen1
deboulonnen2
deboundare1
deboundare2
deboure
debouse
deboutonnen
debouye(debwouye)
debrake
debranche1
debranche2
debreye
debride
debwate1
debwate2
dechaje1
dechalbore
dechanbrannen1
dechanbrannen2
dechennen1
dechennen2
dechèpiye1(dechèpiyen,dechapiye,chèpiye)
dechèpiye2(dechèpiyen,dechapiye)
dechifonnen1
dechifonnen2
dechifre
dechose1
dechouke1
dechouke2
dechouke3(dejouke)
dechte
dechwe
dedi1
dedi2(dedui)
dedikase
dedjennene
dedjole1
dedjole2(degyole)
dedomanje(dedomaje)
debouche1
dedouble
dedui1(dedwi)
dedwane
dedye(dedje)
defalke
defanm1
defanm2
defanm3
defere
defifare
defigire
defile1
defile2
defile3
defiloche
defilonnen
defiltre1
defiltre2
defini1
defini2
defòme
defonse
defouke
defounen
defouni1
defrichi1
defresiye
defriche
defripe1
defripe2
defripe3
defye1
defye2
degaje1
degaje2
degaye
degennen
degèpi
degize1
degize2
deglase
degoche1(degochi)
degoche2(degochi)
degòje1
degòje2
degòjèt
degonfle1
degonfle2
degonfle3
degonmen1
degonme2
degoudi1
degoulinen
degoumande
degouse
degouspa
degoute1
degoute2
degrade1
degrade2
degrade3
degrafe
degrape
degrate
degrennen1
degrennen2
degrese
degrije1
degwosi1
degwosi2
degwosi3
dejante
dejennen1(dejene,dejnen dejnen)
dejennere1(dejenere)
dejije
dejle1(dejele)
dejouke1
dejwe1
dejwe2
dejwente
dekachte1
dekage
dekale
dekanpe1
dekape
dekare
dekatiye1(dekatye,dekatya
dekatiye2
dekatiye3
dekese
dekimen
deklannche(deklanche,deklanchte)
deklare
deklase
deklere
deklete
dekline(deklinen)
dekloke
dekloure'deklouwe)
dekode
dekòde
dekofre
dekole1
dekole2
dekolore
dekòmande(dekonmande,dekoumande)
dekonble
dekonnekte1(dekonekte)
dekonnèt
dekonpoze1
dekonpoze2
dekonsantre1
dekonsantre2
dekonseye
dekonstonbre(dekostonbre)
dekontrole
dekore
dekòtike
dekouche
dekoud
dekoupe1
dekoupe2
dekouraje
dekouvri(dekouvè)
dekoze
dekrase
dekrenmen1
dekreta1
dekreta2
dekreta3
dekrete
dekwafe
dekwaze
dekwennen1
dekwennen2
dekwense
dekwoche(dekochte)
dekwochi
dekwoke1
dekwote
delabre1
delage1
delake
delala1
delase
delege1
deleste
deleze
delire
delivre1
delivre2
delòk
delonje
delye(deleye)
demake1
demake2
demake3
demakoutize
demanbre1
demanti1
demantibile
demantle
demare1
demare2
demare3
demarye
demaske1
demaye
demeble
demefyan1
demelanje
demele1
demenaje
demere
demisyone(demisyonnen
demobilize
demòd
demokratize
demoli
demonte(demoute)
demontre
demoralize
demwele1
demwele2
deniche
denigre
denonse
depafini1
depale
depanse
depareye
deparye
depase1
depasyante
depataje
depatcha1(depatya)
depatcha2(depatya)
depaye1
depenn
depenyen
deperi
depetre
depeyize1
depeyize2
deplase1
deplè
deplimen1
depliman2
deplise
depliye
deploge
deplonbe
deplòtonnen
deploye(deplwaye
depole
depòte
depouye1
depouye2
depoze
deprestije
deprie
deranche1
deranche2
deranje
derape1
deraye
derefize
deregle1
deregle2
derekonnèt
derespekte
desabote
desale
desangle
desann1(disann)
desann2(disann)
desann3(disann)
desann4(disann)
desatisfè
deseche(decheche)
desele1
desele2
desere
desèvi1
desèvi2
desi
deside1
desine
desoude
desounen1'desonnen)
desounen2(desonnen)
destabilize
destine1
detache1
detache2
detake
detann
detaye1
detaye2
detaye3
detchonn1(detchoun)
detchoure
detekte
detèmine1 (detèminen
detenn1
detenn2
detere
detryore(detèryore)
deteste
detike1
detike2
detire
detòde
detòtye(dezantòtye
detoufe1
detoufe2
detounen(detoune)
detrake
detranpe1
detrese
detripe1
detripe2
detwi,detui, detri)
detwone
detwonpe
detyedi1
detyoule
devale
devalize
devanse
devantre
devaste
devere
devèse1
devèse2
devide1
devide2
devine(devinen,divine)
devire1
devise
devisaje
devlope1
devlope2
devlope3
devni
devore
devwale
devwe1
devye1
devye2
dewobe
dewoule1
dewoule2(woule)
dewoute1
dewoute2
dewouye
deyò1
dezabitye1
dezabiye
dezabòne
dezagrafe
dezakse1
dezame
dezamò
dezanbale
dezanfle
dezangaje(deyangaje)
dezangoudi
dezankonbre
dezannouye(dezanniye,dezannwiye)
dezanpare li1
dezanpetre.dezanpetre pye li
dezantere
dezanpiye1
dezanpiye2
dezaprann
dezapresye
dezapwouve1
dezapwouve2
dezasosye
dezavantaje1
dezavwe
dezekilibre1
dezenfekte
dezenterese1
dezenvite
dezerite
dezespere1
dezète
dezidrate
dezini
dezipe
dezire
deziye(deziyen,dezinye, dezye)
dezobeyi
dezokipe
dezole1
dezonbifye
dezonore
dezoryante
dezose1,(desose,dechose)
dezose2,(desose,dechose)
di1
difame
diferansye
dige(djige)
digonnen
dijere
dikte1
dilate
diminye(diminwe)
dinen1 (dine)
dire1
dirije
diskalifye
diskite
diskredite
disloke
disoud
dispanse
disparèt
dispèse
dispite
dispoze1
dispoze2
dispoze3
dispanse
distenge1
distrè
divage
divèti
divilge(devilge)
divize
devòse
diwote1
djage(dyage,dage)
djake1(dyake)
djaye,(djayi,djaye)
djigonnen
djobe (dyobe)
djobe
djòke (djoke, dyoke)
dodo
dodomeya
dole
dole
dòlote
domestike
domestike
dòmi
dòmi
dòmi
donnen
donnen
donnen
donte
dore
dore
double
double
double
doubout
douke
douko
dous
doute
doye
doye
dragonnen
drene (drennen)
drese
drese
drese
drese
drible (trible)
drivaye 
drive (drivaye)
drive
drive
dwe (dwè)
dwe
dwoge (doge)
dyake see djake
dyaloge
dyare          see   djare
dyoke          see   djoke
ebèje
echi
echwe (chwe)
ede (ende, rende, ide, ride)
edidye  (etidye)
edifye
edike (endike)
edite
edite
efondre (anfondre)
egale
egalize (galze)
egare
egzajere
egzalte
egzaminen (egzamine)
egzante
egzante
egzekite
egzèse
egzeyate (ekzeyate)
egzite (ekzite)
egzile (ekzile)
egziste (egzis)
egzose
ejakile
ekate
ekilibre
ekipe
ekipe               see     okipe
eklate
eklere
eklèsi
eklèsi (klèsi)
ekri
eksite (èksite)
elabore
eliminen (elimine)
elve
emèt
emigre
emosyone
endispoze
endiye
enfekte
enfiltre
enfliyanse
enfòmatize
enfòme (enfòmen)
enkòmòde (enkonmòde)
enkriminen
enkyete
enpasyante
enplante
enplike
enpòte
enpoze
enpoze
enpresyone
enprime
enpwovize
ensandye
ensilte
ensiste
ensite
enskri
enspekte
enspire
enstale (estale)
enstale (estale)
enstale li (estale)
enstore
enstwi
entansifye
entèdi
entegre
entèkale
entène (entènen)
entèpele (entèple)
entèprete
enterese
entèvni (entèveni)
entèvyouwe
entèwoje
entewonp
entimide
entoksike
entwodui (entwodwi)
envante
evesti (envèsti)
envestige
envite
envite             see    evite
envoke
epànye
epànye           see epaye
apapiye
epaye  (epànye)
epesi
epize (epuize)
eple
ere
eritye
eseye (seye)
eskalade
eskandalize
eskane
eskanpe
eskilte
eskive
eskize (ekskize)
eskonte
eskòte
esoufle
espante
espase
espedye (ekspedye)
espere
esperimante (eksperimante)
espesifye
espesyalize li
espilse (ekspilse)
espire (ekspire)
esplike (eksplike)
esplike (eksplike)
esplore (eksplore)
esploze (eksploze)
esplwate (eksplwate)
espòte (ekspòte)
espoze (ekspoze)
esprime li (esprimen, eksprime, eksprimen)
espyonnen (espyone)
estabilize
estasyonnen (estasyone)
estat
estèminen (estèmine, ekstèminen, estèmine)
esterilze
esterilize
estime
estoke
estonmake (estomake)
estòpe
estriktire
estwopye
etabli (tabli)
etabli (tabli)
etale
etann
etenn (etèn)
etidye (edidye)
etone (etonnen)
evakye
evalye
evanjelize
evite (envite)
evolye
ezite
fabrike
fache
fade
fafouye
fagote
fakse
falta
familyarise li
fanbre
fane
fann
farinen
fasilite
fatige
fawouche
faya
fayi
fè
febli (afebli)
fèk (fenk, fèrenk)
fekonde
fele
felisite
femante
fèmen
fennen
fente
feraye
feraye
fere
fese
fese
fèt
fèt                   see  fè
fete
feye
feyte
figire li
fikse (fiske)
filange
file
file
file
file
filme
filozofe
filtre
fimen
finalize
finanse
fini (fin)
fisle
fiyanse (fyanse)
fizye (fiziye)
flache
flanbe
flanke (flank)
flannen
flate
flechi
flere
fleri
fleri
fletri
flite
flote
fofile
fòje
fòk
fòkòp
fòmalize
fòme
fòme
fòme
fonde
fonksyone (fonksyonnen)
fonn
fonse
fonse
fonse                 see       mare
fòse
fote                   see      fwote
fotokopye
foubi
fouchte > fouchte tè
fouke
fouke
foul
foule
foule
foundaye
founen
founi
foure
fout (foute)
fouye
frakase
fraktire
fransize
frape (fwape)
frape (fwape)
frape (fwape)
fratènize
fredonnen (fredone)
frekante
fremi
frennen (fwennen)
fèt li > frèt kò li
fri
fri
frikase (fwikase)
friksyonnen (fiksyonnen)
fripe
frisonnen
frite
fware
fwase
fwete (frete)
fwote (fote)
fye
gade (gad)
gade > sa pa gade ou !
gade (gad)
gade 
gaga
gagannen
gagari
gagote
galfate (galfete)
galize             see   egalize
galonnen
galonnen
galonnen (garyonnen)
gan               see    genyen
ganbade
gani
garanti
gare
gaspiye (gaspye)
gate
gaya
gaye
gaye
gazouye
gedje
gengole (grendole)
genlè
genyen (gen, ganyen, gan)
genyen (gen, ganyen, gan)
geri
gete
gide
giyonnen
glase
glasiye
glise
globalize
glòt
glòtglòt
gobe (gòbe)
gobye
gole
golinen
gonde                 see    gwonde
gondole
gondoye             see     goudiye
gongle
gonfle
gonfle
gonmen
goudiye (godiye, gondoye)
goumen
goute
gouvènen (gouvène)
gouye
goziye
gradye
grafouyen, grafounyen, 
graje
graje
graje
grandi
grangou
grape
grapiyen (grapiye)
grasye
grate
grate
grate
grave
grefe
grennen
grennen
grennen
grennen               see     lese
grenpe
grese  (grèse)
grese  (grèse)
grife
grifonnen (grifònen) see grifonnen
grifonnen  
griji
gripe
gripe
griye
griyen
griyen 
grizonnen (grizònen)
gwòs
gwòs
hise             see   ise
hipe
hose            see   wose
idantifye
ilistre
imajine
imèl
imigre
imilye
iminize
imite
ini
inifye
inisye
inogire
inonde
inosante
ipnotize
ipoteke
irite
ise         
itilize
iyore
ize
izole
jakase
janbe
jante
jape
jayi
jaze
jebede
jejya
jele
jèmen
jemi
jene
jeneralize
jennen
jenouye
jere
jete
jete
jete li
jigote
jije
jire
jistifye
jistifye li
jofre
jòje
jongle
joni
jouke
jouke
joure
jwe
jwenn
jwente
kaba
kabannen
kabeste
kabicha
kabinè
kabodja li
kabre
kache
kachte
kachte li
kadanse
kadache  see kadase/ kodase
kadnase
kadre
kadriye
kadriye
kage
kage
kajole
kaka
kaka
kakade
kakaye
kakis
kakis
kakit
kabouse
kaladya li
kalbende
kalbende
kalbende
kale
kale
kale
kale
kale
kaledou 
kalewès
kalifye
kalifye
kalkile
kalkile
kalma
kalma
kalme
kalomye
kalonnen
kalote
kamoufle
kanbya
kangrennen
kankannen
kannale
kannale
kannalize
kanni
kanonize
kanpe
kanpe
kantonnen
kanyan
kanzo
kapab
kapitonnen
kaponnen
kaponnen, kraponnen, kkanponnen
kapote
kapote
kapte
kaptive
kapya
karabinen
karakole
karanbole
kare
kare
kare
kare
kare>fenk kare
karennen
karese
karye
karyonnen
kase
kase
kase
kase
kastonnen
kastonnen
kata
kataloge
katiye
kave
kave
kawote
kawote
kawote
kaye
kaze
kazènen li
keksyone
kenbe
kente
kestyonnen
kete
keyi
keyi
kidnape
kikinan
kilbite
kilbite
kiltive
kimen
kin
kite
kite
kiyankiyan
klaka
klaksonnen
klanpse
klanpse
klapote
klarifye
klase
klere
klèsi               see   eklèsi
klete
klewonnen
klipse
klise
kliyote
kloke
klotire
kloure
klwe               see   kloure
kòche
kochonnen
kodake
kodake            see     kodase
kodase
kòde
kofre
kofre li
kofwe           see     kofre
koke             see      kokwe
koke
kokobe
kolabore
kolasyonnen
kole
koleksyonnen
kolekte
kolekte        see    konnekte
kolonize
kolore
kòlpote
kòlta   li
kòlte
kòmande
kòmanse
kòmante
kòmèt
kominike
kominizye
komisyonnen
konbine
konble
kondane
kondanse
kondi
kondi li
konekte           see konnekte
kònen
konfese
konfi
kofimen
konfiske
konfòme li
konfonn
konfonte          see   konfwonte
konfye
konjige
konjire
konkli
konkli
konmemore    see   komemore
konminike        see  kominike
konn                see   konnen
konnekte
konnen
konnèt             see   kòne
konnèt
konomize        see   ekonomize
konpare
konparèt
konpile
konplenn
konplete
konplike
konplimante
konplote li
konpoze
konpoze
konprann
konprese
konsakre
konsanti
konsantre
konsantre
konsène
konsève
konsevwa
konseye
konsidere
konsilte
konsiyen
konsiyen
konsole
konsolide
konsonmen
konspire
konstate
konstipe
konstri              see  konstwi
konstwi  
konsyantize
kontakte
kontamine
kontanple
kontante
konte
kontinye
kontrarye
kontre
kontredi
kontrefè
kontrekare
kontribye
kontwole
konveni             see   konvni
konvenk
konvèti
konvni
konvoke
konvwate
konwonp
konyen
kopere
kopye
kore
kore
koresponn
korije
koste
kostime
kosyonnen
kotize
koube
kouche
koud
koule
koule
koule
koumande        see  kòmande
koupe
kouple
kouri
koute
koute
koutpyete
kouve
kouve
kouvri
kouwone
kouwonnen       see  kouwone
kowòdone
kowonpi
kowopere
koyibe
koze
koze
krab li             see  krab kò li
krabinen
krache
krake
kranponnen
kranponnen
kraponnen     see  kaponnen
kraze
kraze
kredite
kreke
kreke
krenn
kreve
kreye
kreyolize
krible
kriminen
krisifye
kritike
kriye
kriye
kuit
kwafe
kwape
kwasiyen
kwaze
kwè
kwense
kwobi
kwochi
kwochte
kwoke
kwonometre
laboure
lacharite
lache
ladobo
lage
lage
lage
lage
laji
lakilbit
lalad
lanbe
lanse
lanse
lanse
lape
lapide
lase
lave
laye
laye
layite
lemante
lese
lese
lese
leve
leve
li
libere
likide
lime
limen
limen         see     lime
limewote    see    nimewote
liminen
limite
limite
lise
lite
livre
livre li
liyen
liyen
liyen
liyen
lobe
lobe
loje
lokalize
lolo
lonje
lonje
lonnen
lonyen
losyonnen
lote
lote
louvri
lwanje
lwe
lwe
lye
mabouya li > mabouya kò l
machande
machande
mache
mache
machinen
machonnen
madre
magazinen
makadre
make
make
make
make
makiye
makònen
makònen
makònen
maldevlope       see  devlope
maldyòke
malediksyonnen
maledve
malkondui
malmennen
maltrete
mamonnen
mamòte
manbre li
manche
manche
manche li
mandate
mande
mandyannen
manevre
mangonmen
manifeste
manipile
manje
manke
manniboule
manniganse
mansyonnen
manti
manyen
manyen
marande
mare
mare
marinen
marye
masakre
mase
mase
maske
masoke
masonnen
maspinen
mastike
mastike
matche
matche
matche
mate
mate
mate
mate
matirize
mawode
mawon
mawonnen
mawonnen
maye             see   marye
maye
maye             see   marye
mayetize
mazonnen
meble
medaye
medite
mefye
megri
melanje
mele
menaje
menase        see    mennanse
mennase
mennen
mensi
mentni
meprize
merite
mete
metri
metrize
mezire
mezire
michmich
mijonnen
mijote 
mikse
mikte
milite
miltipliye
mimire
minen
minimize
mistifye
mitije
mitonnen
mitonnen
mitraye
miyonnen
mize
mize
mizire
mobilize
mòde
mòde
mòdènizmodènize
modere
mòdesoufle
modi
modifye
moke
moke
mòl li > mòl kò l
moleste
moli
monopolize
monte
monte
montre
mòtifye
motive
mòtwaze
mouche
moule
moulen
moulen > byen moulen
mouri
mouri
mouvmante
mouye
move
myoukmyouke
naje
nannan
nasyonalize
natiralize
navige
nazalize
neglije
negosye
nesesite
netche
netwaye
netwaye
neye
niche
niche
nimewote
nivle
noble
nòmalize
nonmen
notarye
note
nouri
nui
nuizanse
nwasi
nwaye
nye
obeyi
oblije                see        blije
obsede
obsève
òdone
odyanse
ofanse
ofiske
ofisyalize
ofraje
ofri
òganize
ogmante
ogounen
okabine
òkestre
okipe
okipe
òltègèt
onore
onz li
opere
opere
opoze
oprese
oryante
ose                       see      wose
otopsi
otorize
ouvè
ouvè 
ouvri
ovile
oze
pachiman
padone
pake
pakin
palabre
pale
pali
palmante
panche
pandyannen
pandyannen
pandye
pandye
panike
panm
panmen
panmen
pann
panpannen
panse
panse
pantan
parachite
paralize
pare
pare
parèt
parye
parye
pas
pase
pase
pasifye
pasterize
pasyante
pataje
patche
pati
patinen
patinen
patisipe
patisipe
patoje
patwone
patwouye
pave
pavni
pavweze             see    paweze
paweze
paye
paye
pe
pè
peche
peche
pechinen              see   penche
pedale
pedale
pèdi
pèfore
pèmèt
penche
penche              see   pense
penetre
penn
pense
pentire
penyen
pèpèt
peple
peri
pèse
pèsekite
pèsevere
pèsiste
pèswade
pete
pete
pete
petri
pèvèti
peye
peze
peze
pibliye
piga
pije
pije
pik
pike
pike
pike
pike
pile
pile
pile
pilonnen
pilote
pimante
pimpe
pini
pipi
pire
pirifye
pise
pistonnen
piwete
piye
piye                        see    apiye
piye
plafonnen
plakade
plake
plake
plake
plane
plane
planifye
plannen
plannen
plannen
plante
plante
plase
plase
plase
plat
plata
plati
platre
plè
plede
plede
plen
plenn
plenyen
plezante
plezi 
plezire
pliche
pliche
pliche
pliche
plimen
plise
pliye
ploge
plonbe
plonje
plòtonnen
poche
poche             see     pwoche
podui               see    pwodui
pofane            see   pwofane
pofese           see    pwofese
pofetize         see    pwofetize
pofite             see    pwofite
pofonde         see    pwofonde
pograme       see    pwograme
pojekte          see    pwojekte
pojte             see     pwojte
pokire           see     pwokire
poli
polikopye
polinize
polonje         see   pwolonje
polye
pomennen    see  pwonmennen
pomèt          see   pwomèt
pomne         see   pwonmennen
ponmen
ponmen
ponmennen  see pwonmennen
ponmnen      see  pwonmennen
ponn
ponnche
ponntye        see   ponnche
ponpe
ponpe
ponponnen
ponyade
ponyen
popaje         see   pwopaje
popoze        see   pwopoze
posede
posede       see  pwosede
pospere      see  pwospere
poste
poste
poste
postènen    see  pwostènen
postitiye      see  pwostitiye
pote
poteje         see   pwoteje
poteke        see   pwoteke
poteste       see  pwoteste
poudre
poupou
pouri
pousade
pouse
pouse
pouswiv 
poze
poze
poze
poze
pral
pran
pran
pran
pran
pran
pratike
preche
prefase
prefere
prente           see    pwente
prepare
prese
presize
preskri
pretann
prete
prete
prete
prevni
prevwa
prezante
prezève
prezide
prije
prime
prtita
privatize
prive
privilejye
priye
prizonye
pwente
pwente
pwente
pwenti
pwentiye
pwezonnen     see  anpwazonnen
pwoche
pwodui
pwofese
pwofetize
pwofite
pwogrese 
pwojekte     see  pwojte
pwojte
pwokire
pwokire li 
pwograme
pwolonje
pwomèt
pwomne     see  pwonmennen
pwomouvwa
pwonfonde
pwonmennen
pwononse
pwononse
pwonpe       see  ponpe
pwopaje
pwopoze
pwosede
pwospere
pwostènen li
pwoteje
pwoteste
pwouve
pwovoke
pwovoke
pwoyibe
pyafe
pyange
pyapya
pwòpte
pyeje
pyese
pyese
pyonnen
rabache
rabadja
rabat
rabat
rabese
rabi
rabonnen
rabote
rabote
rabougri
raboure
rache
rache
rachte
radada
radote
radousi
radye
rafèmi
rafine
rafle
rachonnen
rafle
rafrechi
rafredi        see  refwadi
rajeni
rakastiye
rakle
rafle
rakòde
rakomode
rakonte
rakousi
rakwoche
ralanti
rale
rale
rale
rale
ralonje           lonje
ralye
ramase      see  ranmase
rame
ramoli
ranbleye
ranboure
ranbouse
ranchonnen  see  rachonnen
randui
ranfòse
rangennen
ranje
ranje
ranje
rankontre (ak)
ranmase
ranme           see   rame
rann
rann li
rannafle
ranni
ranpaye
ranpe
ranpire      see  anpire
ranplase
ranpli
ranpòte
ranse 
ranseye
rantre
rantre    see  antre
ranvèse
ranvoye   see  ranvwaye
ranvwaye
rapatriye
rape
rape
rapistole
raple
rapòte
rapòte
rapouswiv
rapwoche
rapyese
rara
rasadje    see  rasazye
rasanble  see  sanble
rasazye
rasinen
rasire
ratata
rate
ratibraze   see  ratibwaze
ratibwaze
ratifye
ratrape
ratresi
ravaje
ravitaye
raye
rayi
raze
razibis
rebati
rabay
rebele
rebise
rebite
rebonbe
rebondi
rebondong
rebouche
reboujonnen
reboure           see      raboure
rebrase
rebwaze
rebwè
rebyen
rechaje
rebatize
rebat
rechita
rechite
rechiyen
rechofe
rechouke
rechte
rechwazi
rede           see   ede
redefini
redemare
rederape
redesann
redi
redi
redije
redistribiye
redòmi
redouble
redouble
redrese
redui
refè
refèmen
refere
refèt
refiye
refikse
refize
reflechi
reflete
refòme
refonksyonen
refonn
refoule
refwadi
regade            see   gade
regilarize
regle
regle
regrèt
regrete   see   regrèt
regwoupe
rejayi
rejenbe
rejte       see   rechte
rejwe
rejwenn
rejwenn
rejwi
rekanpe
rekare
rekase
rekile
rekipere
reklame
reklase
rekole
reklòte
rekòmande
rekòmanse
rekondui
rekonèt
refonfòte
rekonmande
rekonpanse
rekonpoze
rekonsilye
rekonstri
rekonte
rekopye
rekouche
rekoud
rekoumanse   see rekòmanse
rekouvri
rekrite
relache
relanse
rele
releng  (kò li)
relimen
relouvri
relwe
relye
relye
remake
remanbre
remanyen
remarye
remaye
remeble
remedye
remennen
remèsi
remèt
remete
remize
remòke
remonte
rende    see  ede
renka li
renmake   see   remake
renmen
renmèsi   see  renmèsye  see remèsi
rennen
renonmen  see  renome
renonse
renouvle
renove
rense
rente
renye
renye       see   reye
repale
repanche
repann
repanse
repanse
repanti
repare
reparèt
repase
repati
repati
repeche
repedale
repentire
repenyen
repeple
repere
repete
repeye
repeze
repibliye
repike
repimpe
repiyen
replane
replante
replase
replen
replike
repliye
replonje
repoli      see  repwodi
repoli
reponn
repòte
repòte
repouse
repouse
repoze
repoze
repoze   see  poze
reprann
reprann
reprezante
reprimande
reprime
repwente
repwoche
repwodi
repwodui  see  repwodi
repyese    see  rapyese
resanse
resantre
resele
resemele
resezi  (li)
resi         see    reyisi
resikle
resiste
resite
reskiye
reskonsab
resoti
respekte
respire
restore
restrenn
retabli
retade
retande
retanmen
retape        see   tape
retaye
rete
rete
retire
retni
retòde
retòke
retonbe
retouche
retounen
retounen     see   tounen
retransmèt
retrase
retresi       see  ratresi
retrete
retwouse
retwouve
revandike
revanje
revann
reve
revele
reveye
reveye
revide
revin
revini  see revni
revire
revise
reviv
revize
revni
revoke
revòlte
revyen
rewè
reyabilite
reyachte
reyaji
reyalize
reyangaje
reye
reyekri
reyeli
reyenvesti
reyini
reyisi
reyòganize
reze
rezève
reziste
reziyen   li
rezone
rezoud
rezye     see    reze
ri
ride      see    ede
rigwaze
rikannan
rilaks
rime
rimen
riminen
rinen
riposte
riske
rive
rifte
sable
sabote
sabote
sakade
sakaje
sakle               see   sekle
sakre
sakrifye
sal
salade
salanbe
salange
sale
Sali
salope
salopete
salta
salye
sanble
sanble
sanble
sangle
sangtifye
sanksyonnen
sanktifye        see    sangtifye
sanse
sansibilize
sansire
santi
santi li 
santralize
santre
sapata
satisfè
satiyèt
savaloure
savonnen
savonnen
se
seche
sede
sede
sedui
sefwe
segonde
sèke
sekile             see   sikile
sekle
sekoure
sekwe           see   souke
sele
sele
sele
selebre
seleksyone
sèmante
senbolize
sendike
sènen
sennen
senpatize
senplifye
sentre
senyen
separe
sere
sere
serenge
sètifye
sètoblije
sèvi
sèvi
sèvi
sevre
seye      see   eseye
sezi
sezonnen      see   sizonnen
sibi
sible
sibvansyone
sibziste
sifi
sifle         see   soufle
sifoke
sige
sigjere     see   sijere
sijere
sijte
sikile
sikonsi
sikre
simante
simaye
simen
simonnis
singo
sinifi       see   siyifi
